feature_name,source_type,feature_family,selected_final_input,pearson_to_pressure,spearman_to_pressure,within_bike_mean_abs_spearman,within_bike_mean_signed_spearman,abs_pearson_to_pressure,abs_spearman_to_pressure,abs_spearman_rank
gyro_band_3_8_power_absdiff,gyro_signal,band_3_8_power,False,-0.49514787861156184,-0.5034965331668487,0.19578900207451214,0.13903856669059558,0.49514787861156184,0.5034965331668487,20
gyro_spectral_centroid_absdiff,gyro_signal,spectral_centroid,False,-0.42554048125532984,-0.5001280006741937,0.12768847961381227,0.11823007371649286,0.42554048125532984,0.5001280006741937,22
acc_mean_max,acceleration_signal,mean,False,0.49529093672292573,0.49527335090536734,0.2601061621762843,0.2601061621762843,0.49529093672292573,0.49527335090536734,23
acc_max_abs_max,acceleration_signal,max_abs,False,0.5131231871702508,0.48714924312896407,0.34617765584189103,0.34617765584189103,0.5131231871702508,0.48714924312896407,24
acc_band_3_8_power_min,acceleration_signal,band_3_8_power,False,-0.5011452679353312,-0.483681636151231,0.2799688145606551,-0.27429377102226343,0.5011452679353312,0.483681636151231,26
acc_energy_per_s_max,acceleration_signal,energy_per_s,False,0.5189969558035272,0.4827899657855281,0.36131110527760213,0.36131110527760213,0.5189969558035272,0.4827899657855281,27
acc_std_max,acceleration_signal,std,False,0.4750749730498976,0.4819973699049035,0.3527985399700147,0.3527985399700147,0.4750749730498976,0.4819973699049035,28
acc_rms_max,acceleration_signal,rms,False,0.4830379538878468,0.47942143329287307,0.3499610182008189,0.3499610182008189,0.4830379538878468,0.47942143329287307,29
acc_dom_freq_max,acceleration_signal,dom_freq,False,0.4313633868510701,0.4701936462912923,0.3187818007885659,0.1446840947431988,0.4313633868510701,0.4701936462912923,31
acc_band_0p5_3_power_min,acceleration_signal,band_0p5_3_power,False,-0.4665829377712672,-0.4683250909641271,0.29321058281690227,-0.17214298733121355,0.4665829377712672,0.4683250909641271,32
acc_ptp_max,acceleration_signal,ptp,False,0.47865859084759066,0.4586157914264744,0.33671924994457164,0.33671924994457164,0.47865859084759066,0.4586157914264744,34
acc_max_abs_mean,acceleration_signal,max_abs,False,0.474713252186146,0.4517796519560862,0.3386109311240355,0.3386109311240355,0.474713252186146,0.4517796519560862,35
gyro_band_8_15_power_min,gyro_signal,band_8_15_power,False,0.4228617595236611,0.4504916836500711,0.11444671135756507,0.10120494310131788,0.4228617595236611,0.4504916836500711,36
acc_p95_abs_absdiff,acceleration_signal,p95_abs,False,0.44318171245287935,0.4421694269035116,0.15984705966469834,0.13525520433166782,0.44318171245287935,0.4421694269035116,38
acc_std_absdiff,acceleration_signal,std,False,0.4444554637770117,0.43751292610484144,0.24781023450976902,0.24781023450976902,0.4444554637770117,0.43751292610484144,39
acc_rms_absdiff,acceleration_signal,rms,False,0.4423480829368824,0.43325272324648356,0.264835365124944,0.264835365124944,0.4423480829368824,0.43325272324648356,40
acc_band_15_30_power_min,acceleration_signal,band_15_30_power,False,0.42404162999818706,0.41987766776094154,0.47102861368650756,0.47102861368650756,0.42404162999818706,0.41987766776094154,42
acc_energy_per_s_absdiff,acceleration_signal,energy_per_s,False,0.45087131545473397,0.4183915504847702,0.2894272204579745,0.2894272204579745,0.45087131545473397,0.4183915504847702,46
acc_spectral_entropy_min,acceleration_signal,spectral_entropy,False,0.40832818722480446,0.41096096410391353,0.43603251186642566,0.43603251186642566,0.40832818722480446,0.41096096410391353,47
gyro_band_15_30_power_max,gyro_signal,band_15_30_power,False,-0.3668343807106946,-0.40273778184243214,0.3915780041490244,0.34617765584189114,0.3668343807106946,0.40273778184243214,48
acc_band_3_8_power_max,acceleration_signal,band_3_8_power,False,-0.46658541639276774,-0.40144981353641696,0.4227907436101785,-0.21848917622807876,0.46658541639276774,0.40144981353641696,49
acc_max_abs_min,acceleration_signal,max_abs,False,0.44511938462986483,0.39837850449899626,0.35090685879055084,0.35090685879055084,0.44511938462986483,0.39837850449899626,50
acc_mean_mean,acceleration_signal,mean,False,0.41004846168300135,0.3815358420357211,0.2506477562789648,0.2506477562789648,0.41004846168300135,0.3815358420357211,51
acc_ptp_min,acceleration_signal,ptp,False,0.3987218636361705,0.37569044741611385,0.3499610182008188,0.3499610182008188,0.3987218636361705,0.37569044741611385,52
acc_mean_absdiff,acceleration_signal,mean,False,0.3614518975812496,0.3734117342593178,0.16552210320309,-0.06337131951204018,0.3614518975812496,0.3734117342593178,53
gyro_band_15_30_power_min,gyro_signal,band_15_30_power,False,0.37042212886663733,0.36657559478892965,0.413332337712859,0.280914655150387,0.37042212886663733,0.36657559478892965,54
gyro_kurtosis_mean,gyro_signal,kurtosis,False,0.34795802138608756,0.36399965817689933,0.19957236443343992,0.19957236443343992,0.34795802138608756,0.36399965817689933,55
gyro_skew_mean,gyro_signal,skew,False,0.2820837756087151,0.354785731064637,0.1853847555874608,0.12674263902408034,0.2820837756087151,0.354785731064637,56
acc_skew_min,acceleration_signal,skew,False,0.3712249006890052,0.343689388735891,0.3669861488159938,0.3669861488159938,0.3712249006890052,0.343689388735891,57
acc_dom_freq_absdiff,acceleration_signal,dom_freq,False,0.2005040744591498,0.33629382303178673,0.38342850660744215,-0.027484566341595757,0.2005040744591498,0.33629382303178673,58
gyro_spectral_entropy_min,gyro_signal,spectral_entropy,False,0.3355971204422339,0.3306115567055833,0.05769627597364851,0.05580459479418462,0.3355971204422339,0.3306115567055833,59
gyro_dom_freq_min,gyro_signal,dom_freq,False,0.3381553867212199,0.3146531421477989,0.19401874334145786,0.19401874334145786,0.3381553867212199,0.3146531421477989,62
gyro_skew_max,gyro_signal,skew,False,0.2597491462803818,0.31000406380934076,0.20335572679236766,0.16930546556201773,0.2597491462803818,0.31000406380934076,64
gyro_kurtosis_max,gyro_signal,kurtosis,False,0.28295122744404905,0.30445589264496775,0.2629436839454801,0.2629436839454801,0.28295122744404905,0.30445589264496775,65
gyro_band_3_8_power_max,gyro_signal,band_3_8_power,False,-0.2931158025769203,-0.29662900832379874,0.32536916286778833,0.13620104492139978,0.2931158025769203,0.29662900832379874,66
acc_p95_abs_min,acceleration_signal,p95_abs,False,0.3785662662843471,0.29375584825653417,0.4010364100463437,0.4010364100463437,0.3785662662843471,0.29375584825653417,67
acc_kurtosis_min,acceleration_signal,kurtosis,False,0.31349047199929686,0.2915762095848162,0.35279853997001465,0.35279853997001465,0.31349047199929686,0.2915762095848162,68
gyro_skew_min,gyro_signal,skew,False,0.22476254435242352,0.28820767709216116,0.15890121907496638,0.07188388481962765,0.22476254435242352,0.28820767709216116,69
acc_spectral_entropy_absdiff,acceleration_signal,spectral_entropy,False,0.2862241527446308,0.28454192114427185,0.2279475821253982,0.14093024787005948,0.2862241527446308,0.28454192114427185,70
acc_rms_min,acceleration_signal,rms,False,0.3512442005778459,0.28008356931575784,0.36225694586733415,0.36225694586733415,0.3512442005778459,0.28008356931575784,72
acc_energy_per_s_min,acceleration_signal,energy_per_s,False,0.3632420526974426,0.2773094837335714,0.3717153517646535,0.3717153517646535,0.3632420526974426,0.2773094837335714,73
